,Brand,Movement,Case material,Bracelet material,Gender,Price,Shape,Crystal,Dial,Bracelet color,Clasp,Total Sale,Seller Reviews,Year,Volume
26584,Ernest Borel,Automatic,steel,Leather,Men's watch/Unisex,47520.0,Circular,Sapphire crystal,Blue,Blue,Buckle,313.0,257.0,2024-01-01,Low Sale
26586,Ingersoll,Automatic,steel,Steel,Men's watch/Unisex,26647.5,Circular,Mineral Glass,Silver,Gold,Double-fold clasp,14627.0,7424.0,2024-01-01,High Sale
26590,Vostok,Automatic,steel,Leather,Men's watch/Unisex,76560.0,Circular,Mineral Glass,Blue,Brown,Buckle,1605.0,1188.0,2024-01-01,Medium Sale
26596,Swiss Military,Quartz,steel,Steel,Women's watch,23100.0,Circular,Mineral Glass,Blue,Silver,Fold clasp,14627.0,7424.0,2024-01-01,High Sale
26598,H.Moser & Cie.,Automatic,steel,Leather,Men's watch/Unisex,820875.0,Circular,Sapphire crystal,Blue,Brown,Buckle,3087.0,2339.0,2024-01-01,High Sale
26602,Blancpain,Automatic,steel,Textile,Men's watch/Unisex,598125.0,Circular,Sapphire crystal,Blue,Blue,Buckle,1281.0,798.0,2024-01-01,Medium Sale
26604,Rolex,Automatic,steel,gold,Men's watch/Unisex,1237500.0,Circular,Sapphire crystal,Champagne,Gold,Fold clasp,544.0,399.0,2018-01-01,Low Sale
26607,Sinn,Automatic,steel,Leather,Men's watch/Unisex,150645.0,Circular,Plexiglass,Black,Black,Buckle,508.0,422.0,2003-01-01,Low Sale
26617,TW Steel,Quartz,steel,Animal skin,Men's watch/Unisex,21120.0,Circular,Sapphire crystal,Blue,Blue,Buckle,14627.0,7424.0,2024-01-01,High Sale
26621,Panerai,Manual winding,steel,Leather,Men's watch/Unisex,412417.5,Circular,Sapphire crystal,Black,Brown,Buckle,2946.0,2094.0,2017-01-01,High Sale
26625,Raketa,Manual winding,steel,Leather,Men's watch/Unisex,19800.0,Circular,Plexiglass,Champagne,Gold,Buckle,759.0,483.0,1990-01-01,Medium Sale
26626,Jacob & Co.,Quartz,steel,Leather,Men's watch/Unisex,453667.5,Circular,Sapphire crystal,Black,Black,Fold clasp,522.0,375.0,2024-01-01,Low Sale
26631,Panerai,Manual winding,steel,Leather,Men's watch/Unisex,1146337.5,Circular,Sapphire crystal,Black,Brown,Buckle,791.0,574.0,2003-01-01,Medium Sale
26634,Fendi,Quartz,steel,Steel,Women's watch,80437.5,Circular,Sapphire crystal,Black,Steel,Buckle,445.0,218.0,2024-01-01,Low Sale
26639,Alfred Dunhill,Automatic,gold,Animal skin,Men's watch/Unisex,522802.5,Circular,Sapphire crystal,Black,Brown,Fold clasp,1420.0,885.0,2024-01-01,Medium Sale
26640,Breguet,Automatic,steel,Animal skin,Men's watch/Unisex,1311750.0,Circular,Sapphire crystal,Black,Black,Buckle,1281.0,798.0,2024-01-01,Medium Sale
26641,Chopard,Quartz,gold,Leather,Women's watch,258720.0,Rectangular,Sapphire crystal,White,Brown,Buckle,522.0,375.0,2024-01-01,Low Sale
26642,Stowa,Manual winding,steel,Leather,Men's watch/Unisex,17407.5,Circular,Plastic,Champagne,Black,Buckle,14642.0,448.0,1970-01-01,High Sale
26643,Oris,Automatic,steel,Leather,Men's watch/Unisex,160875.0,Circular,Sapphire crystal,Brown,Brown,Buckle,3087.0,2339.0,2024-01-01,High Sale
26654,Benrus,Automatic,steel,Leather,Men's watch/Unisex,28792.5,Circular,Sapphire crystal,Grey,Silver,Buckle,14642.0,448.0,1966-01-01,High Sale
26660,Gucci,Quartz,steel,Steel,Men's watch/Unisex,92812.5,Circular,Sapphire crystal,Red,Silver,Fold clasp,409.0,304.0,2023-01-01,Low Sale
26664,Formex,Automatic,Carbon,Textile,Men's watch/Unisex,147097.5,Rectangular,Sapphire crystal,White,Black,Buckle,1072.0,940.0,2024-01-01,Medium Sale
26668,Corum,Automatic,Titanium,Titanium,Men's watch/Unisex,325875.0,Circular,Sapphire crystal,Blue,Silver,Fold clasp,2206.0,1611.0,2024-01-01,Medium Sale
26672,Maserati,Quartz,steel,gold,Men's watch/Unisex,20955.0,Circular,Mineral Glass,Black,Gold,Fold clasp,5461.0,3305.0,2023-01-01,High Sale
26673,NOMOS,Manual winding,steel,Leather,Women's watch,115417.5,Circular,Sapphire crystal,White,Gold,Buckle,517.0,344.0,2024-01-01,Low Sale
26675,Vostok,Automatic,steel,Silicon,Men's watch/Unisex,14272.5,Rectangular,Mineral Glass,Black,Black,Fold clasp,2053.0,1420.0,2022-01-01,Medium Sale
26676,Parmigiani Fleurier,Automatic,Titanium,Rubber,Men's watch/Unisex,3347190.0,Circular,Sapphire crystal,Blue,Black,Fold clasp,2222.0,1454.0,2024-01-01,Medium Sale
