,Brand,Movement,Case material,Bracelet material,Gender,Price,Shape,Crystal,Dial,Bracelet color,Clasp,Total Sale,Seller Reviews,Year,Volume
12,Zeppelin,Quartz,steel,Leather,Men's watch/Unisex,22192.5,Circular,Mineral Glass,Grey,Brown,Buckle,2328.0,1742.0,2024-01-01,Medium Sale
14,Formex,Automatic,Carbon,Textile,Men's watch/Unisex,164917.5,Rectangular,Sapphire crystal,Grey,Black,Buckle,1072.0,940.0,2024-01-01,Medium Sale
17,Vostok,Automatic,steel,Steel,Men's watch/Unisex,11467.5,Rectangular,Glass,White,Steel,Fold clasp,804.0,551.0,2024-01-01,Medium Sale
18,Ingersoll,Automatic,steel,Animal skin,Men's watch/Unisex,28957.5,Circular,Mineral Glass,Gold,Black,Buckle,14626.0,7424.0,2024-01-01,High Sale
19,Omega,Automatic,steel,Rubber,Men's watch/Unisex,412500.0,Circular,Sapphire crystal,Black,Black,Buckle,254.0,128.0,2024-01-01,Low Sale
23,Formex,Automatic,Carbon,Textile,Men's watch/Unisex,147097.5,Rectangular,Sapphire crystal,Blue,Black,Buckle,1072.0,940.0,2024-01-01,Medium Sale
27,Mühle Glashütte,Automatic,steel,Animal skin,Men's watch/Unisex,311932.5,Rectangular,Sapphire crystal,Blue,Blue,Double-fold clasp,14642.0,448.0,2000-01-01,High Sale
30,Tudor,Automatic,steel,Steel,Men's watch/Unisex,264000.0,Circular,Sapphire crystal,Black,Steel,Fold clasp,414.0,263.0,2024-01-01,Low Sale
31,Glashütte Original,Automatic,steel,Textile,Men's watch/Unisex,977625.0,Circular,Sapphire crystal,Grey,Silver,Fold clasp,1281.0,798.0,2024-01-01,Medium Sale
39,Oris,Automatic,steel,Steel,Men's watch/Unisex,177375.0,Circular,Sapphire crystal,Black,Silver,Buckle,3087.0,2339.0,2024-01-01,High Sale
43,Norqain,Automatic,steel,Leather,Men's watch/Unisex,312675.0,Rectangular,Sapphire crystal,Black,Brown,Buckle,1420.0,876.0,2024-01-01,Medium Sale
48,NOMOS,Manual winding,steel,Leather,Men's watch/Unisex,114097.5,Circular,Sapphire crystal,White,Black,Buckle,722.0,548.0,2024-01-01,Medium Sale
54,Venezianico,Automatic,steel,Steel,Men's watch/Unisex,50325.0,Circular,Sapphire crystal,Green,Steel,Buckle,816.0,670.0,2024-01-01,Medium Sale
60,Zeppelin,Automatic,steel,Leather,Men's watch/Unisex,44467.5,Circular,Mineral Glass,Champagne,Brown,Buckle,2328.0,1742.0,2024-01-01,Medium Sale
64,Traser,Quartz,steel,Rubber,Men's watch/Unisex,49005.0,Circular,Sapphire crystal,Black,Black,Buckle,1473.0,1088.0,2024-01-01,Medium Sale
67,Romain Jerome,Automatic,steel,Rubber,Men's watch/Unisex,465547.5,Circular,Sapphire crystal,Brown,Black,Fold clasp,549.0,480.0,2023-01-01,Low Sale
70,Maserati,Quartz,steel,Steel,Men's watch/Unisex,20460.0,Circular,Sapphire crystal,Green,Silver,Fold clasp,14626.0,7424.0,2024-01-01,High Sale
81,Breguet,Automatic,gold,Animal skin,Men's watch/Unisex,2887500.0,Circular,Sapphire crystal,Blue,Blue,Buckle,1604.0,1147.0,2024-01-01,Medium Sale
91,Zeno-Watch Basel,Automatic,steel,Leather,Men's watch/Unisex,132165.0,Circular,Sapphire crystal,Black,Black,Buckle,2028.0,1396.0,2020-01-01,Medium Sale
96,Doxa,Automatic,steel,Rubber,Men's watch/Unisex,138187.5,Rectangular,Sapphire crystal,White,White,"Fold clasp, hidden",357.0,311.0,2024-01-01,Low Sale
99,Hanhart,Manual winding,steel,Leather,Men's watch/Unisex,192555.0,Rectangular,Sapphire crystal,Black,Steel,Fold clasp,1072.0,940.0,2024-01-01,Medium Sale
115,Bulgari,Automatic,gold,Leather,Women's watch,2227500.0,Circular,Sapphire crystal,Gold,Brown,Buckle,265.0,195.0,2024-01-01,Low Sale
116,Swatch,Automatic,Plastic,Textile,Men's watch/Unisex,53625.0,Circular,Mineral Glass,Black,Black,Buckle,288.0,149.0,2023-01-01,Low Sale
118,Zeno-Watch Basel,Automatic,steel,Leather,Men's watch/Unisex,208725.0,Rectangular,Mineral Glass,Black,Black,Buckle,579.0,359.0,2024-01-01,Low Sale
119,Venezianico,Automatic,steel,Rubber,Men's watch/Unisex,106425.0,Rectangular,Sapphire crystal,Blue,Blue,Buckle,14642.0,448.0,2023-01-01,High Sale
120,Glycine,Automatic,gold,Animal skin,Men's watch/Unisex,123750.0,Circular,Glass,Silver,Brown,Buckle,1461.0,1007.0,2024-01-01,Medium Sale
122,Nivada,Automatic,steel,Rubber,Men's watch/Unisex,82912.5,Circular,Sapphire crystal,Black,Brown,Buckle,3108.0,2199.0,2024-01-01,High Sale
123,Junghans,Automatic,steel,Animal skin,Men's watch/Unisex,25822.5,Circular,Plastic,Gold (solid),Black,Buckle,722.0,548.0,1960-01-01,Medium Sale
124,Zeppelin,Automatic,steel,Leather,Men's watch/Unisex,173745.0,Circular,Sapphire crystal,Champagne,Black,Buckle,399.0,291.0,2024-01-01,Low Sale
126,Grand Seiko,Automatic,steel,Steel,Men's watch/Unisex,495000.0,Circular,Sapphire crystal,Grey,Steel,Fold clasp,627.0,461.0,2024-01-01,Low Sale
128,TW Steel,Quartz,steel,Animal skin,Men's watch/Unisex,17737.5,Circular,Mineral Glass,Black,Black,Buckle,14626.0,7424.0,2024-01-01,High Sale
145,Mühle Glashütte,Automatic,steel,Leather,Men's watch/Unisex,276292.5,Circular,Sapphire crystal,Silver,Brown,Buckle,4181.0,2862.0,2024-01-01,High Sale
146,Gucci,Quartz,steel,Leather,Women's watch,24337.5,Rectangular,Sapphire crystal,Champagne,Black,Buckle,1390.0,860.0,1993-01-01,Medium Sale
148,Ulysse Nardin,Automatic,Carbon,Leather,Men's watch/Unisex,1509667.5,Circular,Sapphire crystal,Blue,Black,Buckle,522.0,375.0,2024-01-01,Low Sale
150,Luminox,Quartz,steel,Rubber,Men's watch/Unisex,64515.0,Circular,Sapphire crystal,Black,Gold,Fold clasp,2139.0,1488.0,2022-01-01,Medium Sale
156,Stowa,Automatic,steel,Leather,Men's watch/Unisex,84645.0,Circular,Sapphire crystal,Black,Brown,Buckle,14642.0,448.0,2022-01-01,High Sale
159,Laco,Automatic,steel,Leather,Men's watch/Unisex,30277.5,Circular,Sapphire crystal,Black,Brown,Buckle,2328.0,1742.0,2024-01-01,Medium Sale
162,Ulysse Nardin,Automatic,steel,Rubber,Men's watch/Unisex,658762.5,Circular,Sapphire crystal,Black,Black,Double-fold clasp,545.0,371.0,2024-01-01,Low Sale
174,Swiss Military,Quartz,steel,Steel,Men's watch/Unisex,22192.5,Circular,Sapphire crystal,Green,Gold,Fold clasp,14626.0,7424.0,2024-01-01,High Sale
175,Edox,Automatic,steel,Rubber,Men's watch/Unisex,71197.5,Circular,Sapphire crystal,Blue,Black,Buckle,14642.0,448.0,2024-01-01,High Sale
178,Spinnaker,Automatic,steel,Animal skin,Men's watch/Unisex,16335.0,Circular,Mineral Glass,Black,Brown,Buckle,14626.0,7424.0,2024-01-01,High Sale
179,Glycine,Automatic,gold,Animal skin,Women's watch,99000.0,Circular,Glass,Champagne,Brown,Buckle,1461.0,1007.0,2024-01-01,Medium Sale
184,Pryngeps,Quartz,steel,Leather,Men's watch/Unisex,25822.5,Rectangular,Plexiglass,White,Steel,Fold clasp,270.0,208.0,2024-01-01,Low Sale
186,Meistersinger,Automatic,steel,Leather,Men's watch/Unisex,173167.5,Circular,Sapphire crystal,Blue,Blue,Buckle,1461.0,1007.0,2022-01-01,Medium Sale
203,Meistersinger,Automatic,steel,Leather,Men's watch/Unisex,115417.5,Circular,Sapphire crystal,Blue,Brown,Buckle,680.0,476.0,2023-01-01,Low Sale
206,Vulcain,Automatic,steel,Rubber,Men's watch/Unisex,121192.5,Circular,Sapphire crystal,Blue,Black,Buckle,5034.0,3907.0,2024-01-01,High Sale
210,Perrelet,Automatic,steel,Steel,Men's watch/Unisex,142642.5,Circular,Sapphire crystal,White,Steel,Double-fold clasp,14642.0,448.0,2001-01-01,High Sale
214,Oris,Automatic,steel,Steel,Men's watch/Unisex,197917.5,Circular,Sapphire crystal,Green,Steel,Fold clasp,1170.0,667.0,2023-01-01,Medium Sale
215,Steinhart,Automatic,steel,Silicon,Men's watch/Unisex,68392.5,Circular,Sapphire crystal,Blue,Blue,Buckle,411.0,270.0,2018-01-01,Low Sale
217,Porsche Design,Automatic,Titanium,Rubber,Men's watch/Unisex,257565.0,Circular,Sapphire crystal,Black,Black,Double-fold clasp,347.0,293.0,2024-01-01,Low Sale
220,Hanhart,Manual winding,steel,Leather,Men's watch/Unisex,177375.0,Circular,Sapphire crystal,Black,Black,Buckle,1072.0,940.0,2024-01-01,Medium Sale
240,Chronoswiss,Automatic,steel,Leather,Men's watch/Unisex,328845.0,Circular,Sapphire crystal,Silver,Black,Buckle,1739.0,1261.0,1998-01-01,Medium Sale
241,Spinnaker,Automatic,steel,Steel,Men's watch/Unisex,43560.0,Circular,Sapphire crystal,Black,Silver,Fold clasp,14626.0,7424.0,2024-01-01,High Sale
244,Jaeger-LeCoultre,Manual winding,steel,Leather,Men's watch/Unisex,824917.5,Rectangular,Sapphire crystal,Silver,Black,Fold clasp,2946.0,2094.0,2017-01-01,High Sale
251,Ernst Benz,Automatic,gold,Animal skin,Men's watch/Unisex,1237500.0,Circular,Sapphire crystal,White,Brown,Fold clasp,14642.0,448.0,2009-01-01,High Sale
252,Cartier,Automatic,steel,Steel,Men's watch/Unisex,593587.5,Rectangular,Sapphire crystal,White,Steel,Fold clasp,260.0,154.0,2024-01-01,Low Sale
253,Breguet,Automatic,gold,Leather,Men's watch/Unisex,1014750.0,Rectangular,Sapphire crystal,Silver,Brown,Fold clasp,1153.0,858.0,2014-01-01,Medium Sale
254,Cyma,Automatic,steel,Steel,Men's watch/Unisex,84645.0,Rectangular,Sapphire crystal,White,Silver,Double-fold clasp,14642.0,448.0,2000-01-01,High Sale
257,Romain Jerome,Automatic,steel,Animal skin,Men's watch/Unisex,793237.5,Circular,Sapphire crystal,Black,Brown,Double-fold clasp,779.0,619.0,2017-01-01,Medium Sale
259,Maurice Lacroix,Automatic,steel,Steel,Men's watch/Unisex,101557.5,Circular,Sapphire crystal,Black,Steel,Fold clasp,1978.0,1294.0,2023-01-01,Medium Sale
263,Glashütte Original,Automatic,steel,Animal skin,Men's watch/Unisex,577500.0,Circular,Sapphire crystal,Silver,Black,Double-fold clasp,14642.0,448.0,2006-01-01,High Sale
269,Breitling,Automatic,steel,Rubber,Men's watch/Unisex,267217.5,Circular,Sapphire crystal,Blue,Blue,Buckle,697.0,452.0,2020-01-01,Low Sale
275,Yema,Automatic,steel,Steel,Men's watch/Unisex,74002.5,Circular,Sapphire crystal,Black,Silver,Fold clasp,1086.0,814.0,2024-01-01,Medium Sale
276,A. Lange & Söhne,Manual winding,gold,Animal skin,Men's watch/Unisex,2584725.0,Circular,Sapphire crystal,Black,Brown,Buckle,253.0,178.0,2024-01-01,Low Sale
278,Swiss Military,Quartz,steel,Animal skin,Men's watch/Unisex,21202.5,Circular,Sapphire crystal,Blue,Blue,Buckle,14626.0,7424.0,2024-01-01,High Sale
279,Jacob & Co.,Quartz,steel,Leather,Men's watch/Unisex,329917.5,Circular,Sapphire crystal,Silver,Blue,Buckle,522.0,375.0,2024-01-01,Low Sale
283,Claude Meylan,Manual winding,steel,Leather,Men's watch/Unisex,489307.5,Circular,Sapphire crystal,White,Black,Buckle,566.0,448.0,2024-01-01,Low Sale
286,Lacoste,Quartz,steel,Animal skin,Men's watch/Unisex,13365.0,Circular,Mineral Glass,Blue,Brown,Buckle,14626.0,7424.0,2024-01-01,High Sale
288,Breguet,Automatic,gold,Leather,Men's watch/Unisex,2474175.0,Rectangular,Sapphire crystal,Silver,Black,Fold clasp,3529.0,2000.0,2022-01-01,High Sale
296,Venezianico,Automatic,steel,Steel,Men's watch/Unisex,50325.0,Circular,Sapphire crystal,Blue,Steel,Fold clasp,342.0,299.0,2024-01-01,Low Sale
298,Rotary,Quartz,steel,Steel,Women's watch,13282.5,Circular,Sapphire crystal,Blue,Silver,Double-fold clasp,14626.0,7424.0,2024-01-01,High Sale
301,Rado,Automatic,Ceramic,Ceramic,Men's watch/Unisex,100897.5,Circular,Sapphire crystal,Blue,Black,Fold clasp,364.0,244.0,2019-01-01,Low Sale
308,Yema,Automatic,Bronze,Rubber,Men's watch/Unisex,86625.0,Circular,Sapphire crystal,Blue,Black,Buckle,14642.0,448.0,2019-01-01,High Sale
314,Technos,Automatic,steel,Leather,Men's watch/Unisex,107910.0,Circular,Plexiglass,Black,Brown,Buckle,980.0,750.0,1968-01-01,Medium Sale
316,Formex,Automatic,steel,Leather,Men's watch/Unisex,125647.5,Rectangular,Sapphire crystal,Brown,Black,Fold clasp,1072.0,940.0,2024-01-01,Medium Sale
317,TW Steel,Quartz,steel,Textile,Men's watch/Unisex,17737.5,Circular,Mineral Glass,Black,Green,Buckle,14626.0,7424.0,2024-01-01,High Sale
319,Enicar,Automatic,steel,Steel,Men's watch/Unisex,164917.5,Circular,Plexiglass,Black,Steel,Fold clasp,14642.0,448.0,1970-01-01,High Sale
328,Franck Muller,Automatic,gold,Leather,Men's watch/Unisex,659587.5,Rectangular,Sapphire crystal,Silver,Brown,Buckle,407.0,308.0,2008-01-01,Low Sale
329,Traser,Quartz,steel,Steel,Men's watch/Unisex,70867.5,Circular,Sapphire crystal,Red,Silver,Fold clasp,14626.0,7424.0,2024-01-01,High Sale
333,Tissot,Automatic,steel,Steel,Women's watch,49995.0,Circular,Sapphire crystal,White,Steel,Fold clasp,576.0,319.0,2023-01-01,Low Sale
338,Mühle Glashütte,Automatic,steel,Leather,Men's watch/Unisex,267217.5,Circular,Sapphire crystal,White,Brown,Double-fold clasp,231.0,185.0,2024-01-01,Low Sale
349,Movado,Manual winding,gold,Animal skin,Men's watch/Unisex,160462.5,Rectangular,Plexiglass,Silver,Black,Buckle,253.0,180.0,1955-01-01,Low Sale
352,Rolex,Automatic,steel,Steel,Men's watch/Unisex,1072500.0,Circular,Sapphire crystal,Grey,Steel,Fold clasp,544.0,399.0,2019-01-01,Low Sale
362,Meistersinger,Automatic,steel,Leather,Men's watch/Unisex,102465.0,Circular,Sapphire crystal,Champagne,Brown,Buckle,228.0,165.0,2018-01-01,Low Sale
363,Zeppelin,Quartz,steel,Animal skin,Men's watch/Unisex,24832.5,Circular,Mineral Glass,Silver,Brown,Buckle,2328.0,1742.0,2024-01-01,Medium Sale
365,Lanco,Manual winding,steel,Leather,Men's watch/Unisex,32092.5,Rectangular,Plexiglass,Champagne,Brown,Buckle,14642.0,448.0,1960-01-01,High Sale
370,Benzinger,Manual winding,steel,Animal skin,Men's watch/Unisex,909150.0,Circular,Sapphire crystal,Silver (solid),Black,Double-fold clasp,566.0,448.0,2024-01-01,Low Sale
374,Alpina,Automatic,steel,Leather,Men's watch/Unisex,151057.5,Circular,Sapphire crystal,Black,Black,Fold clasp,2053.0,1451.0,2024-01-01,Medium Sale
379,Jean Marcel,Manual winding,steel,Steel,Men's watch/Unisex,271837.5,Circular,Sapphire crystal,White,Steel,Double-fold clasp,1072.0,940.0,2024-01-01,Medium Sale
381,Seiko,Automatic,steel,Steel,Men's watch/Unisex,112777.5,Circular,Sapphire crystal,Green,Steel,Fold clasp,2260.0,1329.0,2021-01-01,Medium Sale
388,Blancpain,Automatic,Ceramic,Textile,Men's watch/Unisex,1225537.5,Circular,Sapphire crystal,Blue,Blue,Buckle,2222.0,1454.0,2024-01-01,Medium Sale
397,Union Glashütte,Automatic,steel,Leather,Men's watch/Unisex,225060.0,Circular,Sapphire crystal,Black,Silver,Fold clasp,2481.0,1599.0,2024-01-01,Medium Sale
399,Romain Jerome,Automatic,steel,Rubber,Men's watch/Unisex,433125.0,Circular,Sapphire crystal,Silver,Black,Buckle,212.0,189.0,2022-01-01,Low Sale
401,Eterna,Automatic,steel,Steel,Men's watch/Unisex,249892.5,Circular,Sapphire crystal,Black,Steel,Fold clasp,313.0,257.0,2023-01-01,Low Sale
402,Tecnotempo,Automatic,steel,Leather,Men's watch/Unisex,70867.5,Rectangular,Sapphire crystal,Blue,Blue,Double-fold clasp,14642.0,448.0,2024-01-01,High Sale
403,Panerai,Manual winding,steel,Leather,Men's watch/Unisex,445087.5,Circular,Sapphire crystal,Grey,Brown,Buckle,615.0,435.0,2022-01-01,Low Sale
411,Louis Moinet,Manual winding,steel,Animal skin,Men's watch/Unisex,623040.0,Rectangular,Sapphire crystal,Blue,Brown,Fold clasp,566.0,448.0,2011-01-01,Low Sale
414,Glycine,Quartz,steel,Steel,Men's watch/Unisex,40095.0,Circular,Sapphire crystal,Blue,Gold,Double-fold clasp,272.0,222.0,2022-01-01,Low Sale
416,Orient,Automatic,steel,Leather,Men's watch/Unisex,22357.5,Circular,Mineral Glass,White,Brown,Buckle,948.0,443.0,2023-01-01,Medium Sale
422,Cuervo y Sobrinos,Automatic,steel,Leather,Men's watch/Unisex,200970.0,Circular,Sapphire crystal,White,Blue,Fold clasp,14925.0,10162.0,2024-01-01,High Sale
423,Nivada,Manual winding,steel,Leather,Men's watch/Unisex,82912.5,Circular,Sapphire crystal,Black,Brown,Buckle,1072.0,940.0,2024-01-01,Medium Sale
424,Poljot,Manual winding,steel,Steel,Men's watch/Unisex,40012.5,Circular,Mineral Glass,Black,Black,Buckle,2053.0,1420.0,2015-01-01,Medium Sale
425,Franck Muller,Quartz,steel,Steel,Women's watch,197587.5,Rectangular,Sapphire crystal,Silver,Steel,Buckle,830.0,555.0,2006-01-01,Medium Sale
427,NOMOS,Manual winding,steel,Leather,Men's watch/Unisex,109147.5,Circular,Sapphire crystal,White,Brown,Buckle,949.0,868.0,2024-01-01,Medium Sale
430,Certina,Automatic,steel,Steel,Men's watch/Unisex,69547.5,Circular,Sapphire crystal,Black,Steel,Double-fold clasp,722.0,548.0,2023-01-01,Medium Sale
431,Chopard,Automatic,steel,Rubber,Men's watch/Unisex,284625.0,Circular,Sapphire crystal,Black,Black,Buckle,3087.0,2339.0,2024-01-01,High Sale
434,Festina,Quartz,steel,Steel,Men's watch/Unisex,17737.5,Circular,Mineral Glass,Blue,Gold,Fold clasp,14626.0,7424.0,2024-01-01,High Sale
437,Laco,Manual winding,steel,Steel,Men's watch/Unisex,11467.5,Rectangular,Plexiglass,Blue,Gold,No clasp,223.0,170.0,1959-01-01,Low Sale
438,Grand Seiko,Automatic,steel,Steel,Men's watch/Unisex,468600.0,Circular,Sapphire crystal,Red,Steel,Fold clasp,225.0,172.0,2024-01-01,Low Sale
439,Pulsar,Quartz,steel,Steel,Men's watch/Unisex,6435.0,Circular,Mineral Glass,Black,Black,Double-fold clasp,14642.0,448.0,2022-01-01,High Sale
440,TB Buti,Automatic,gold,Rubber,Men's watch/Unisex,882337.5,Circular,Sapphire crystal,Black,Black,Buckle,1580.0,1115.0,2006-01-01,Medium Sale
443,Victorinox Swiss Army,Quartz,steel,Steel,Men's watch/Unisex,38032.5,Circular,Sapphire crystal,Blue,Silver,Fold clasp,2328.0,1742.0,2024-01-01,Medium Sale
447,Hublot,Automatic,gold,Rubber,Men's watch/Unisex,2604937.5,Circular,Sapphire crystal,Blue,Black,Fold clasp,1123.0,852.0,2013-01-01,Medium Sale
448,Spinnaker,Automatic,steel,Steel,Men's watch/Unisex,43560.0,Circular,Sapphire crystal,Champagne,Gold,Fold clasp,14626.0,7424.0,2024-01-01,High Sale
449,Aristo,Automatic,steel,Steel,Men's watch/Unisex,98010.0,Circular,Sapphire crystal,Blue,Steel,Jewelry clasp,363.0,253.0,2024-01-01,Low Sale
451,Versace,Automatic,Ceramic,Ceramic,Men's watch/Unisex,147097.5,Circular,Sapphire crystal,White,White,Fold clasp,270.0,208.0,2009-01-01,Low Sale
456,Rolex,Automatic,steel,gold,Men's watch/Unisex,1369087.5,Circular,Sapphire crystal,Blue,Gold,Fold clasp,1222.0,821.0,2022-01-01,Medium Sale
458,Ball,Automatic,steel,Steel,Men's watch/Unisex,184057.5,Circular,Sapphire crystal,Black,Steel,Buckle,316.0,169.0,2024-01-01,Low Sale
464,Hublot,Automatic,Ceramic,Rubber,Men's watch/Unisex,643087.5,Circular,Sapphire crystal,Black,Red,Fold clasp,790.0,574.0,2013-01-01,Medium Sale
466,Anonimo,Automatic,Bronze,Leather,Men's watch/Unisex,289657.5,Circular,Sapphire crystal,Bronze,Brown,Buckle,905.0,721.0,2018-01-01,Medium Sale
468,Tiffany,Quartz,steel,Animal skin,Women's watch,69300.0,Rectangular,Sapphire crystal,White,White,Buckle,937.0,579.0,2024-01-01,Medium Sale
470,Louis Vuitton,Automatic,steel,Rubber,Men's watch/Unisex,169372.5,Circular,Sapphire crystal,Black,Black,Buckle,779.0,619.0,2024-01-01,Medium Sale
472,Universal Genève,Manual winding,steel,Animal skin,Men's watch/Unisex,444757.5,Circular,Plexiglass,Brown,Brown,Buckle,1431.0,1329.0,1950-01-01,Medium Sale
479,A. Lange & Söhne,Automatic,gold,Animal skin,Men's watch/Unisex,1419000.0,Circular,Sapphire crystal,Silver,Silver,Buckle,2439.0,1789.0,2024-01-01,Medium Sale
485,Wittnauer,Automatic,steel,Leather,Men's watch/Unisex,82087.5,Rectangular,Plexiglass,Black,Black,Buckle,1390.0,860.0,1963-01-01,Medium Sale
487,Maserati,Quartz,steel,Steel,Men's watch/Unisex,15097.5,Circular,Mineral Glass,White,Silver,Fold clasp,14626.0,7424.0,2024-01-01,High Sale
490,Hublot,Automatic,Ceramic,Rubber,Men's watch/Unisex,1062187.5,Circular,Sapphire crystal,Blue,White,Fold clasp,1123.0,852.0,2024-01-01,Medium Sale
496,Breitling,Automatic,steel,Rubber,Men's watch/Unisex,701250.0,Circular,Sapphire crystal,Black,Black,Fold clasp,697.0,452.0,2019-01-01,Low Sale
504,Chopard,Automatic,steel,Leather,Women's watch,709500.0,Circular,Sapphire crystal,Blue,Blue,Buckle,265.0,195.0,2023-01-01,Low Sale
507,Davidoff,Automatic,steel,Animal skin,Men's watch/Unisex,75652.5,Rectangular,Sapphire crystal,Grey,Black,Fold clasp,1431.0,1031.0,2024-01-01,Medium Sale
508,Elgin,Automatic,steel,Leather,Men's watch/Unisex,18975.0,Circular,Plexiglass,White,Brown,Buckle,759.0,483.0,1975-01-01,Medium Sale
512,Mondaine,Quartz,Plastic,Textile,Men's watch/Unisex,17655.0,Circular,Mineral Glass,Blue,Blue,Buckle,5034.0,3907.0,2024-01-01,High Sale
514,Frederique Constant,Automatic,steel,Leather,Men's watch/Unisex,61957.5,Circular,Sapphire crystal,Grey,Brown,Buckle,495.0,380.0,2024-01-01,Low Sale
518,Dewitt,Automatic,gold,Ceramic,Men's watch/Unisex,1328002.5,Circular,Sapphire crystal,Black,Brown,Double-fold clasp,779.0,619.0,2024-01-01,Medium Sale
519,Traser,Quartz,steel,Rubber,Men's watch/Unisex,49005.0,Circular,Sapphire crystal,Black,Black,Buckle,1473.0,1088.0,2024-01-01,Medium Sale
521,Invicta,Quartz,steel,Steel,Men's watch/Unisex,31185.0,Rectangular,Mineral Glass,Red,Gold,Fold clasp,14642.0,448.0,2014-01-01,High Sale
544,Victorinox Swiss Army,Quartz,steel,Rubber,Men's watch/Unisex,33000.0,Circular,Sapphire crystal,Black,Gold,Buckle,14626.0,7424.0,2024-01-01,High Sale
547,Ingersoll,Automatic,steel,Animal skin,Men's watch/Unisex,20790.0,Circular,Mineral Glass,Silver,Blue,Buckle,14626.0,7424.0,2024-01-01,High Sale
552,Lemania,Automatic,steel,Leather,Men's watch/Unisex,249480.0,Rectangular,Sapphire crystal,Yellow,Brown,Buckle,273.0,200.0,1985-01-01,Low Sale
555,Bomberg,Automatic,steel,Steel,Men's watch/Unisex,78375.0,Circular,Sapphire crystal,Green,Steel,"Fold clasp, hidden",14642.0,448.0,2024-01-01,High Sale
556,F.P.Journe,Automatic,Platinum,Animal skin,Men's watch/Unisex,6140970.0,Circular,Sapphire crystal,Silver,Black,Buckle,1317.0,1067.0,2008-01-01,Medium Sale
564,Mb&f,Automatic,steel,Leather,Men's watch/Unisex,329752.5,Rectangular,Sapphire crystal,Blue,Black,Double-fold clasp,455.0,353.0,2024-01-01,Low Sale
566,Hanhart,Automatic,steel,Leather,Men's watch/Unisex,181830.0,Circular,Sapphire crystal,Black,Black,Buckle,251.0,181.0,2023-01-01,Low Sale
567,Zeppelin,Automatic,steel,Leather,Men's watch/Unisex,173745.0,Circular,Sapphire crystal,Silver,Black,Buckle,399.0,291.0,2024-01-01,Low Sale
568,Traser,Automatic,steel,Animal skin,Men's watch/Unisex,72187.5,Circular,Sapphire crystal,Black,Black,Fold clasp,1473.0,1088.0,2024-01-01,Medium Sale
570,Versace,Quartz,steel,Animal skin,Men's watch/Unisex,23100.0,Circular,Sapphire crystal,Blue,Blue,Buckle,14626.0,7424.0,2024-01-01,High Sale
571,Jules Jürgensen,Automatic,gold,Animal skin,Men's watch/Unisex,106837.5,Rectangular,Plexiglass,Silver,Black,Buckle,1390.0,860.0,1964-01-01,Medium Sale
572,Glashütte Original,Quartz,steel,Textile,Women's watch,317625.0,Circular,Sapphire crystal,Blue,Silver,Buckle,545.0,356.0,2023-01-01,Low Sale
578,Ball,Automatic,steel,Steel,Men's watch/Unisex,195525.0,Circular,Sapphire crystal,Black,Silver,Buckle,316.0,169.0,2024-01-01,Low Sale
580,Junkers,Automatic,steel,Leather,Men's watch/Unisex,26647.5,Rectangular,Mineral Glass,Silver,Black,Buckle,1156.0,845.0,2022-01-01,Medium Sale
583,Hamilton,Automatic,Titanium,Textile,Men's watch/Unisex,86625.0,Circular,Sapphire crystal,Blue,Blue,Fold clasp,1170.0,667.0,2024-01-01,Medium Sale
584,Mb&f,Automatic,steel,Leather,Men's watch/Unisex,335115.0,Rectangular,Sapphire crystal,Green,Black,Double-fold clasp,14642.0,448.0,2024-01-01,High Sale
585,Tecnotempo,Automatic,steel,Textile,Men's watch/Unisex,29452.5,Circular,Sapphire crystal,Blue,Blue,Buckle,14642.0,448.0,2024-01-01,High Sale
587,Tudor,Automatic,steel,Steel,Men's watch/Unisex,763042.5,Circular,Sapphire crystal,Red,Steel,Fold clasp,697.0,452.0,2024-01-01,Low Sale
595,Venezianico,Automatic,steel,Steel,Men's watch/Unisex,115417.5,Circular,Sapphire crystal,Gold,Steel,Fold clasp,816.0,670.0,2024-01-01,Medium Sale
598,Rotary,Quartz,steel,Steel,Women's watch,22935.0,Circular,Sapphire crystal,Blue,Silver,Double-fold clasp,14626.0,7424.0,2024-01-01,High Sale
602,Audemars Piguet,Automatic,steel,Rubber,Men's watch/Unisex,1559250.0,Circular,Sapphire crystal,Black,Black,Fold clasp,238.0,141.0,2008-01-01,Low Sale
604,Ulysse Nardin,Automatic,steel,Rubber,Men's watch/Unisex,329917.5,Circular,Sapphire crystal,Black,Black,Fold clasp,2946.0,2094.0,2024-01-01,High Sale
606,Glashütte Original,Automatic,steel,Steel,Men's watch/Unisex,1732500.0,Circular,Sapphire crystal,Blue,Steel,Fold clasp,265.0,195.0,2024-01-01,Low Sale
609,Rolex,Automatic,steel,Steel,Men's watch/Unisex,1204087.5,Circular,Sapphire crystal,Grey,Steel,Fold clasp,1222.0,821.0,2023-01-01,Medium Sale
612,Lacoste,Quartz,steel,Animal skin,Men's watch/Unisex,11467.5,Circular,Mineral Glass,Blue,Brown,Buckle,14626.0,7424.0,2024-01-01,High Sale
613,TAG Heuer,Automatic,steel,Steel,Men's watch/Unisex,235125.0,Circular,Sapphire crystal,Blue,Steel,Fold clasp,284.0,199.0,2017-01-01,Low Sale
620,Davosa,Automatic,steel,Leather,Men's watch/Unisex,79777.5,Circular,Sapphire crystal,Blue,Brown,Buckle,8539.0,4710.0,2024-01-01,High Sale
